date_received;queue_name;agent_number;answered;consult;transfer;hangup
17/01/2014 08:02;30175;6936;17/01/2014 08:02;NULL;NULL;17/01/2014 08:04
17/01/2014 08:02;30560;6947;17/01/2014 08:02;NULL;NULL;17/01/2014 08:04
17/01/2014 08:02;30175;6935;17/01/2014 08:02;NULL;NULL;17/01/2014 08:09
17/01/2014 08:03;30560;6949;17/01/2014 08:03;NULL;NULL;17/01/2014 08:08
17/01/2014 08:05;30175;6940;17/01/2014 08:05;NULL;NULL;17/01/2014 08:08
17/01/2014 08:05;30175;9424;17/01/2014 08:05;NULL;NULL;17/01/2014 08:14
17/01/2014 08:09;30560;7479;17/01/2014 08:09;NULL;NULL;17/01/2014 08:13
17/01/2014 08:09;30175;8483;17/01/2014 08:09;NULL;NULL;17/01/2014 08:11
17/01/2014 08:10;30175;8594;17/01/2014 08:10;NULL;NULL;17/01/2014 08:14
17/01/2014 08:10;30175;8076;17/01/2014 08:10;NULL;NULL;17/01/2014 08:13
17/01/2014 08:11;30560;8077;17/01/2014 08:11;NULL;NULL;17/01/2014 08:14
17/01/2014 08:12;30560;7823;17/01/2014 08:12;NULL;NULL;17/01/2014 08:17
17/01/2014 08:12;30560;8723;17/01/2014 08:12;NULL;NULL;17/01/2014 08:14
17/01/2014 08:13;30560;7531;17/01/2014 08:13;NULL;NULL;17/01/2014 08:18
17/01/2014 08:14;30560;6947;17/01/2014 08:14;NULL;NULL;17/01/2014 08:18
17/01/2014 08:14;30175;9423;17/01/2014 08:14;NULL;NULL;17/01/2014 08:25
17/01/2014 08:15;30560;6940;17/01/2014 08:15;NULL;NULL;17/01/2014 08:21
17/01/2014 08:16;30179;9425;17/01/2014 08:16;NULL;NULL;17/01/2014 08:20
17/01/2014 08:17;30560;6949;17/01/2014 08:17;NULL;NULL;17/01/2014 08:22
17/01/2014 08:17;30172;6935;17/01/2014 08:17;NULL;NULL;17/01/2014 08:21
17/01/2014 08:17;30560;8483;17/01/2014 08:17;NULL;NULL;17/01/2014 08:18
17/01/2014 08:18;30560;7479;17/01/2014 08:18;17/01/2014 08:20;17/01/2014 08:20;17/01/2014 08:23
17/01/2014 08:19;30511;8076;17/01/2014 08:19;NULL;NULL;17/01/2014 08:22
17/01/2014 08:20;30560;8077;17/01/2014 08:20;NULL;NULL;17/01/2014 08:24
17/01/2014 08:20;30560;8594;17/01/2014 08:20;17/01/2014 08:24;17/01/2014 08:26;17/01/2014 08:30
17/01/2014 08:20;30560;7823;17/01/2014 08:20;NULL;NULL;17/01/2014 08:22
17/01/2014 08:21;30560;7531;17/01/2014 08:21;17/01/2014 08:22;17/01/2014 08:23;17/01/2014 08:25
17/01/2014 08:21;30172;6947;17/01/2014 08:21;NULL;NULL;17/01/2014 08:25
17/01/2014 08:22;30560;8483;17/01/2014 08:22;NULL;NULL;17/01/2014 08:25
17/01/2014 08:22;30172;7479;17/01/2014 08:23;NULL;NULL;17/01/2014 08:25
17/01/2014 08:25;30560;6940;17/01/2014 08:25;17/01/2014 08:27;17/01/2014 08:28;17/01/2014 08:31
17/01/2014 08:26;30175;9424;17/01/2014 08:26;NULL;NULL;17/01/2014 08:31
17/01/2014 08:26;30560;6935;17/01/2014 08:26;NULL;NULL;17/01/2014 08:28
