date_received;queue_name;agent_number;answered;consult;transfer;hangup
18/01/2014 09:02;30172;7531;18/01/2014 09:02;NULL;NULL;18/01/2014 09:06
18/01/2014 09:03;30560;8077;18/01/2014 09:03;NULL;NULL;18/01/2014 09:08
18/01/2014 09:07;30175;7168;18/01/2014 09:07;NULL;NULL;18/01/2014 09:10
18/01/2014 09:08;30560;7531;18/01/2014 09:08;NULL;NULL;18/01/2014 09:12
18/01/2014 09:10;30179;8077;18/01/2014 09:10;NULL;NULL;18/01/2014 09:13
18/01/2014 09:11;30560;7168;18/01/2014 09:11;NULL;NULL;18/01/2014 09:16
18/01/2014 09:11;30172;7531;18/01/2014 09:12;18/01/2014 09:12;18/01/2014 09:13;18/01/2014 09:16
18/01/2014 09:15;30560;7531;18/01/2014 09:15;NULL;NULL;18/01/2014 09:18
18/01/2014 09:22;30560;8077;18/01/2014 09:22;NULL;NULL;18/01/2014 09:25
18/01/2014 09:26;30560;7168;18/01/2014 09:26;NULL;NULL;18/01/2014 09:27
18/01/2014 09:27;30172;7531;18/01/2014 09:27;18/01/2014 09:27;18/01/2014 09:28;18/01/2014 09:32
18/01/2014 09:30;30560;8077;18/01/2014 09:30;18/01/2014 09:31;18/01/2014 09:32;18/01/2014 09:36
18/01/2014 09:36;30175;7168;18/01/2014 09:36;NULL;NULL;18/01/2014 09:37
18/01/2014 09:39;30179;7531;18/01/2014 09:39;NULL;NULL;18/01/2014 09:39
18/01/2014 09:44;30560;8077;18/01/2014 09:44;NULL;NULL;18/01/2014 09:57
18/01/2014 09:48;30175;7168;18/01/2014 09:48;NULL;NULL;18/01/2014 09:50
18/01/2014 09:51;30175;7531;18/01/2014 09:51;NULL;NULL;18/01/2014 09:55
18/01/2014 09:52;30175;7168;18/01/2014 09:52;NULL;NULL;18/01/2014 09:54
18/01/2014 09:56;30175;7168;18/01/2014 09:56;NULL;NULL;18/01/2014 09:57
18/01/2014 10:03;30560;8077;18/01/2014 10:03;NULL;NULL;18/01/2014 10:09
18/01/2014 10:07;30560;8486;18/01/2014 10:07;NULL;NULL;18/01/2014 10:09
18/01/2014 10:08;30560;8494;18/01/2014 10:08;NULL;NULL;18/01/2014 10:11
18/01/2014 10:10;30560;8077;18/01/2014 10:10;NULL;NULL;18/01/2014 10:15
18/01/2014 10:12;30172;8486;18/01/2014 10:12;NULL;NULL;18/01/2014 10:20
18/01/2014 10:13;30560;8494;18/01/2014 10:13;NULL;NULL;18/01/2014 10:19
18/01/2014 10:22;30560;8494;18/01/2014 10:22;NULL;NULL;18/01/2014 10:26
18/01/2014 10:23;30560;8486;18/01/2014 10:23;NULL;NULL;18/01/2014 10:26
18/01/2014 10:26;30179;8077;18/01/2014 10:26;NULL;NULL;18/01/2014 10:30
18/01/2014 10:28;30560;8486;18/01/2014 10:28;NULL;NULL;18/01/2014 10:37
18/01/2014 10:29;30175;8494;18/01/2014 10:29;NULL;NULL;18/01/2014 10:38
18/01/2014 10:34;30175;8077;18/01/2014 10:34;NULL;NULL;18/01/2014 10:39
18/01/2014 10:35;30179;8486;18/01/2014 10:37;NULL;NULL;18/01/2014 10:43
18/01/2014 10:36;30066;8077;18/01/2014 10:39;NULL;NULL;18/01/2014 10:42
18/01/2014 10:44;30560;8494;18/01/2014 10:44;NULL;NULL;18/01/2014 10:47
18/01/2014 10:44;30560;8077;18/01/2014 10:44;NULL;NULL;18/01/2014 10:50
18/01/2014 10:49;30175;8486;18/01/2014 10:49;NULL;NULL;18/01/2014 10:50
18/01/2014 10:51;30175;8494;18/01/2014 10:51;NULL;NULL;18/01/2014 10:53
18/01/2014 10:51;30560;8486;18/01/2014 10:51;NULL;NULL;18/01/2014 10:52
18/01/2014 10:57;30172;8077;18/01/2014 10:57;NULL;NULL;18/01/2014 11:04
18/01/2014 10:58;30172;8486;18/01/2014 10:58;18/01/2014 10:58;18/01/2014 10:59;18/01/2014 11:01
18/01/2014 10:59;30560;8494;18/01/2014 10:59;NULL;NULL;18/01/2014 11:02
18/01/2014 11:06;30172;8486;18/01/2014 11:06;NULL;NULL;18/01/2014 11:11
