date_received;queue_name;agent_number;answered;consult;transfer;hangup
04/01/2014 09:01;30172;8861;04/01/2014 09:01;04/01/2014 09:02;04/01/2014 09:02;04/01/2014 09:03
04/01/2014 09:03;30560;7003;04/01/2014 09:03;NULL;NULL;04/01/2014 09:06
04/01/2014 09:04;30560;6949;04/01/2014 09:04;NULL;NULL;04/01/2014 09:08
04/01/2014 09:04;30175;8861;04/01/2014 09:04;NULL;NULL;04/01/2014 09:06
04/01/2014 09:08;30175;8861;04/01/2014 09:08;04/01/2014 09:17;NULL;04/01/2014 09:19
04/01/2014 09:11;30175;7003;04/01/2014 09:11;NULL;NULL;04/01/2014 09:13
04/01/2014 09:12;30560;6949;04/01/2014 09:12;NULL;NULL;04/01/2014 09:19
04/01/2014 09:15;30175;7003;04/01/2014 09:15;NULL;NULL;04/01/2014 09:18
04/01/2014 09:17;30175;7003;NULL;NULL;NULL;04/01/2014 09:18
04/01/2014 09:18;30175;7003;04/01/2014 09:18;NULL;NULL;04/01/2014 09:25
04/01/2014 09:22;30172;8861;04/01/2014 09:22;04/01/2014 09:23;04/01/2014 09:23;04/01/2014 09:25
04/01/2014 09:23;30172;6949;04/01/2014 09:23;NULL;NULL;04/01/2014 09:29
04/01/2014 09:24;30172;8861;04/01/2014 09:24;04/01/2014 09:24;04/01/2014 09:24;04/01/2014 09:27
04/01/2014 09:24;30175;8861;04/01/2014 09:24;NULL;NULL;04/01/2014 09:25
04/01/2014 09:29;30560;8861;04/01/2014 09:29;NULL;NULL;04/01/2014 09:32
04/01/2014 09:35;30066;7003;04/01/2014 09:35;NULL;NULL;04/01/2014 09:46
04/01/2014 09:40;30175;6949;04/01/2014 09:40;NULL;NULL;04/01/2014 09:43
04/01/2014 09:41;30172;8861;04/01/2014 09:41;04/01/2014 09:42;04/01/2014 09:43;04/01/2014 09:47
04/01/2014 09:43;30175;8861;04/01/2014 09:43;NULL;NULL;04/01/2014 09:52
04/01/2014 09:49;30175;6949;04/01/2014 09:49;NULL;NULL;04/01/2014 09:52
04/01/2014 09:50;30175;7003;04/01/2014 09:50;NULL;NULL;04/01/2014 09:53
04/01/2014 09:57;30560;8861;04/01/2014 09:57;NULL;NULL;04/01/2014 09:58
04/01/2014 10:00;30560;6949;04/01/2014 10:00;NULL;NULL;04/01/2014 10:05
04/01/2014 10:02;30560;8861;04/01/2014 10:02;NULL;NULL;04/01/2014 10:06
04/01/2014 10:02;30172;8077;04/01/2014 10:02;04/01/2014 10:03;04/01/2014 10:03;04/01/2014 10:04
04/01/2014 10:03;30560;8077;04/01/2014 10:03;NULL;NULL;04/01/2014 10:06
04/01/2014 10:04;30172;6949;04/01/2014 10:05;NULL;NULL;04/01/2014 10:07
04/01/2014 10:06;30175;8861;04/01/2014 10:06;NULL;NULL;04/01/2014 10:08
04/01/2014 10:07;30175;8077;04/01/2014 10:07;NULL;NULL;04/01/2014 10:11
04/01/2014 10:10;30560;8077;04/01/2014 10:11;NULL;NULL;04/01/2014 10:18
04/01/2014 10:12;30175;6949;04/01/2014 10:12;NULL;NULL;04/01/2014 10:14
04/01/2014 10:15;30172;6949;04/01/2014 10:15;NULL;NULL;04/01/2014 10:20
04/01/2014 10:20;30175;8861;04/01/2014 10:20;NULL;NULL;04/01/2014 10:22
04/01/2014 10:21;30172;8077;04/01/2014 10:21;NULL;NULL;04/01/2014 10:22
04/01/2014 10:23;30179;6949;04/01/2014 10:23;NULL;04/01/2014 10:24;04/01/2014 10:24
04/01/2014 10:32;30179;8861;04/01/2014 10:32;NULL;NULL;04/01/2014 10:32
04/01/2014 10:34;30560;8077;04/01/2014 10:34;NULL;NULL;04/01/2014 10:41
04/01/2014 10:41;30175;6949;04/01/2014 10:41;NULL;NULL;04/01/2014 10:46
04/01/2014 10:42;30172;8861;04/01/2014 10:42;NULL;NULL;04/01/2014 10:44
04/01/2014 10:45;30175;8077;04/01/2014 10:45;04/01/2014 10:46;04/01/2014 10:47;04/01/2014 10:54
04/01/2014 10:45;30172;8861;04/01/2014 10:45;NULL;NULL;04/01/2014 10:48
04/01/2014 10:46;30175;6949;04/01/2014 10:46;NULL;NULL;04/01/2014 10:49
04/01/2014 10:47;30560;8077;04/01/2014 10:47;NULL;NULL;04/01/2014 10:50
04/01/2014 10:51;30560;8861;04/01/2014 10:51;NULL;NULL;04/01/2014 10:53
04/01/2014 10:52;30175;6949;04/01/2014 10:52;NULL;NULL;04/01/2014 10:57
04/01/2014 10:55;30560;8077;04/01/2014 10:55;NULL;NULL;04/01/2014 10:55
04/01/2014 10:55;30175;8861;04/01/2014 10:55;NULL;NULL;04/01/2014 10:56
04/01/2014 10:58;30560;8077;04/01/2014 10:58;NULL;NULL;04/01/2014 11:00
04/01/2014 10:58;30560;8861;04/01/2014 10:58;NULL;NULL;04/01/2014 11:03
04/01/2014 11:00;30175;8393;04/01/2014 11:00;NULL;NULL;04/01/2014 11:03
04/01/2014 11:01;30560;8588;04/01/2014 11:01;NULL;NULL;04/01/2014 11:08
04/01/2014 11:02;30172;7003;04/01/2014 11:02;04/01/2014 11:03;04/01/2014 11:03;04/01/2014 11:04
04/01/2014 11:07;30560;7003;04/01/2014 11:07;NULL;NULL;04/01/2014 11:08
04/01/2014 11:07;30172;8393;04/01/2014 11:07;NULL;NULL;04/01/2014 11:14
04/01/2014 11:09;30560;8077;04/01/2014 11:09;NULL;NULL;04/01/2014 11:15
04/01/2014 11:10;30172;7003;04/01/2014 11:10;NULL;NULL;04/01/2014 11:16
