date_received;queue_name;agent_number;answered;consult;transfer;hangup
27/01/2014 08:01;30560;6989;27/01/2014 08:01;NULL;NULL;27/01/2014 08:08
27/01/2014 08:01;30560;6930;27/01/2014 08:01;27/01/2014 08:05;NULL;27/01/2014 08:06
27/01/2014 08:01;30175;6936;27/01/2014 08:01;27/01/2014 08:02;27/01/2014 08:02;27/01/2014 08:04
27/01/2014 08:01;30560;6921;27/01/2014 08:01;NULL;NULL;27/01/2014 08:01
27/01/2014 08:01;30172;8076;27/01/2014 08:01;NULL;NULL;27/01/2014 08:04
27/01/2014 08:01;30175;9508;27/01/2014 08:01;27/01/2014 08:02;27/01/2014 08:02;27/01/2014 08:06
27/01/2014 08:02;30560;8393;27/01/2014 08:02;NULL;NULL;27/01/2014 08:04
27/01/2014 08:02;30172;8717;27/01/2014 08:02;NULL;NULL;27/01/2014 08:06
27/01/2014 08:02;30560;8190;27/01/2014 08:02;NULL;NULL;27/01/2014 08:05
27/01/2014 08:03;30172;6935;27/01/2014 08:03;NULL;NULL;27/01/2014 08:05
27/01/2014 08:03;30172;8189;27/01/2014 08:03;NULL;NULL;27/01/2014 08:05
27/01/2014 08:05;30172;6936;27/01/2014 08:05;NULL;NULL;27/01/2014 08:09
27/01/2014 08:05;30172;8514;27/01/2014 08:05;NULL;NULL;27/01/2014 08:06
27/01/2014 08:05;30175;9425;27/01/2014 08:05;NULL;NULL;27/01/2014 08:10
27/01/2014 08:05;30175;9423;27/01/2014 08:05;27/01/2014 08:06;27/01/2014 08:07;27/01/2014 08:12
27/01/2014 08:05;30560;6945;27/01/2014 08:05;NULL;NULL;27/01/2014 08:07
27/01/2014 08:06;30175;9506;27/01/2014 08:06;NULL;NULL;27/01/2014 08:10
27/01/2014 08:06;30172;8861;27/01/2014 08:06;NULL;NULL;27/01/2014 08:12
27/01/2014 08:07;30560;6921;27/01/2014 08:07;NULL;NULL;27/01/2014 08:11
27/01/2014 08:08;30172;8393;27/01/2014 08:08;27/01/2014 08:09;NULL;27/01/2014 08:09
27/01/2014 08:08;30175;9508;27/01/2014 08:08;27/01/2014 08:09;27/01/2014 08:09;27/01/2014 08:10
27/01/2014 08:08;30560;8076;27/01/2014 08:08;NULL;NULL;27/01/2014 08:14
27/01/2014 08:09;30172;8189;27/01/2014 08:09;NULL;NULL;27/01/2014 08:10
27/01/2014 08:09;30175;6935;27/01/2014 08:09;NULL;NULL;27/01/2014 08:12
27/01/2014 08:11;30175;8488;27/01/2014 08:11;NULL;NULL;27/01/2014 08:14
27/01/2014 08:11;30175;8190;27/01/2014 08:11;NULL;NULL;27/01/2014 08:16
27/01/2014 08:12;30175;8514;27/01/2014 08:12;NULL;NULL;27/01/2014 08:13
27/01/2014 08:12;30175;6930;27/01/2014 08:12;27/01/2014 08:14;27/01/2014 08:15;27/01/2014 08:19
27/01/2014 08:14;30179;8717;27/01/2014 08:14;NULL;NULL;27/01/2014 08:15
27/01/2014 08:14;30175;6945;27/01/2014 08:14;NULL;NULL;27/01/2014 08:20
27/01/2014 08:14;30175;9423;27/01/2014 08:14;27/01/2014 08:15;27/01/2014 08:15;27/01/2014 08:26
27/01/2014 08:15;30172;6989;27/01/2014 08:15;NULL;NULL;27/01/2014 08:26
27/01/2014 08:15;30560;8393;27/01/2014 08:15;NULL;NULL;27/01/2014 08:18
27/01/2014 08:15;30560;8189;27/01/2014 08:15;NULL;NULL;27/01/2014 08:20
27/01/2014 08:15;30179;9508;27/01/2014 08:15;NULL;27/01/2014 08:27;27/01/2014 08:30
27/01/2014 08:15;30560;8861;27/01/2014 08:15;NULL;NULL;27/01/2014 08:18
27/01/2014 08:16;30179;6936;27/01/2014 08:16;NULL;NULL;27/01/2014 08:19
27/01/2014 08:16;30560;8514;27/01/2014 08:16;NULL;NULL;27/01/2014 08:17
27/01/2014 08:17;30066;8076;27/01/2014 08:17;NULL;NULL;27/01/2014 08:24
27/01/2014 08:17;30175;9506;27/01/2014 08:17;27/01/2014 08:18;27/01/2014 08:18;27/01/2014 08:22
27/01/2014 08:18;30560;8488;27/01/2014 08:18;NULL;NULL;27/01/2014 08:23
27/01/2014 08:18;30560;6930;27/01/2014 08:18;NULL;NULL;27/01/2014 08:24
27/01/2014 08:18;30560;8717;27/01/2014 08:18;NULL;NULL;27/01/2014 08:22
27/01/2014 08:19;30175;9425;27/01/2014 08:19;NULL;NULL;27/01/2014 08:28
27/01/2014 08:19;30560;8190;27/01/2014 08:19;NULL;NULL;27/01/2014 08:22
27/01/2014 08:19;30172;8514;27/01/2014 08:19;NULL;NULL;27/01/2014 08:20
27/01/2014 08:20;30560;8861;27/01/2014 08:20;NULL;NULL;27/01/2014 08:24
27/01/2014 08:21;30560;8393;27/01/2014 08:21;NULL;NULL;27/01/2014 08:23
27/01/2014 08:22;30175;9423;27/01/2014 08:22;NULL;NULL;27/01/2014 08:23
27/01/2014 08:22;30560;6935;27/01/2014 08:22;NULL;NULL;27/01/2014 08:25
27/01/2014 08:22;30175;9506;27/01/2014 08:22;NULL;NULL;27/01/2014 08:26
27/01/2014 08:22;30175;6936;27/01/2014 08:22;NULL;NULL;27/01/2014 08:29
27/01/2014 08:22;30560;8189;27/01/2014 08:22;NULL;NULL;27/01/2014 08:27
27/01/2014 08:22;30175;6945;27/01/2014 08:22;NULL;NULL;27/01/2014 08:26
27/01/2014 08:23;30175;8514;27/01/2014 08:23;NULL;NULL;27/01/2014 08:23
27/01/2014 08:23;30560;8717;27/01/2014 08:23;NULL;NULL;27/01/2014 08:24
27/01/2014 08:23;30179;8190;27/01/2014 08:23;NULL;NULL;27/01/2014 08:26
27/01/2014 08:23;30175;8488;27/01/2014 08:23;NULL;NULL;27/01/2014 08:26
27/01/2014 08:24;30560;8393;27/01/2014 08:24;NULL;NULL;27/01/2014 08:26
27/01/2014 08:24;30175;9423;27/01/2014 08:24;NULL;NULL;27/01/2014 08:25
27/01/2014 08:24;30175;6921;27/01/2014 08:24;NULL;NULL;27/01/2014 08:24
27/01/2014 08:25;30179;8076;27/01/2014 08:25;NULL;NULL;27/01/2014 08:26
27/01/2014 08:25;30175;6930;27/01/2014 08:25;NULL;NULL;27/01/2014 08:32
27/01/2014 08:25;30175;8717;27/01/2014 08:25;NULL;NULL;27/01/2014 08:31
27/01/2014 08:25;30175;8861;27/01/2014 08:25;NULL;NULL;27/01/2014 08:26
27/01/2014 08:26;30175;9423;27/01/2014 08:26;NULL;NULL;27/01/2014 08:33
27/01/2014 08:26;30175;6921;27/01/2014 08:26;NULL;NULL;27/01/2014 08:27
27/01/2014 08:26;30560;6935;27/01/2014 08:26;NULL;NULL;27/01/2014 08:29
27/01/2014 08:27;30172;8514;27/01/2014 08:27;NULL;NULL;27/01/2014 08:27
27/01/2014 08:27;30175;8488;27/01/2014 08:27;NULL;NULL;27/01/2014 08:28
27/01/2014 08:27;30175;8076;27/01/2014 08:27;NULL;NULL;27/01/2014 08:29
27/01/2014 08:27;30560;6945;27/01/2014 08:27;NULL;NULL;27/01/2014 08:31
27/01/2014 08:27;30175;9506;27/01/2014 08:27;27/01/2014 08:28;27/01/2014 08:28;27/01/2014 08:29
27/01/2014 08:27;30560;8861;27/01/2014 08:27;NULL;NULL;27/01/2014 08:31
27/01/2014 08:27;30560;6989;27/01/2014 08:27;NULL;NULL;27/01/2014 08:31
27/01/2014 08:28;30172;8393;27/01/2014 08:28;NULL;NULL;27/01/2014 08:29
27/01/2014 08:28;30175;8190;27/01/2014 08:28;NULL;NULL;27/01/2014 08:31
27/01/2014 08:28;30560;6921;27/01/2014 08:28;NULL;NULL;27/01/2014 08:35
27/01/2014 08:28;30172;8514;27/01/2014 08:28;NULL;NULL;27/01/2014 08:28
27/01/2014 08:28;30172;8189;27/01/2014 08:28;NULL;NULL;27/01/2014 08:31
27/01/2014 08:29;30560;8488;27/01/2014 08:29;NULL;NULL;27/01/2014 08:32
27/01/2014 08:29;30175;9508;27/01/2014 08:29;27/01/2014 08:29;27/01/2014 08:30;27/01/2014 08:33
