date_received;queue_name;agent_number;answered;consult;transfer;hangup
25/01/2014 09:01;30172;6975;25/01/2014 09:01;25/01/2014 09:02;25/01/2014 09:02;25/01/2014 09:05
25/01/2014 09:05;30172;8861;25/01/2014 09:05;NULL;NULL;25/01/2014 09:09
25/01/2014 09:07;30172;7531;25/01/2014 09:07;25/01/2014 09:08;25/01/2014 09:09;25/01/2014 09:11
25/01/2014 09:15;30172;7003;25/01/2014 09:15;25/01/2014 09:16;25/01/2014 09:16;25/01/2014 09:18
25/01/2014 09:16;30175;6975;25/01/2014 09:16;NULL;NULL;25/01/2014 09:20
25/01/2014 09:17;30172;8861;25/01/2014 09:17;NULL;NULL;25/01/2014 09:18
25/01/2014 09:20;30560;7531;25/01/2014 09:20;NULL;NULL;25/01/2014 09:21
25/01/2014 09:20;30179;7003;25/01/2014 09:20;NULL;NULL;25/01/2014 09:24
25/01/2014 09:21;30172;8861;25/01/2014 09:21;25/01/2014 09:26;25/01/2014 09:26;25/01/2014 09:27
25/01/2014 09:21;30175;6975;25/01/2014 09:21;NULL;NULL;25/01/2014 09:37
25/01/2014 09:26;30560;7531;25/01/2014 09:26;NULL;NULL;25/01/2014 09:39
25/01/2014 09:26;30560;7003;25/01/2014 09:26;NULL;NULL;25/01/2014 09:31
25/01/2014 09:33;30175;8861;25/01/2014 09:33;NULL;NULL;25/01/2014 09:34
25/01/2014 09:34;30175;7003;25/01/2014 09:34;NULL;NULL;25/01/2014 09:35
25/01/2014 09:35;30172;8861;25/01/2014 09:35;25/01/2014 09:37;25/01/2014 09:38;25/01/2014 09:46
25/01/2014 09:36;30179;7003;25/01/2014 09:36;NULL;NULL;25/01/2014 09:48
25/01/2014 09:37;30175;6975;25/01/2014 09:37;NULL;NULL;25/01/2014 09:40
25/01/2014 09:39;30175;8861;25/01/2014 09:39;NULL;NULL;25/01/2014 09:48
25/01/2014 09:42;30175;7531;25/01/2014 09:42;NULL;NULL;25/01/2014 09:50
25/01/2014 09:42;30175;6975;25/01/2014 09:42;NULL;NULL;25/01/2014 09:44
25/01/2014 09:44;30172;6975;25/01/2014 09:44;NULL;NULL;25/01/2014 09:48
25/01/2014 09:47;30172;7003;25/01/2014 09:48;NULL;NULL;25/01/2014 09:55
25/01/2014 09:51;30560;8861;25/01/2014 09:51;NULL;NULL;25/01/2014 09:54
25/01/2014 09:58;30560;6975;25/01/2014 09:58;NULL;NULL;25/01/2014 10:04
25/01/2014 10:04;30172;7531;25/01/2014 10:04;NULL;NULL;25/01/2014 10:09
25/01/2014 10:05;30175;8486;25/01/2014 10:05;NULL;NULL;25/01/2014 10:09
