date_received;queue_name;agent_number;answered;consult;transfer;hangup
06/01/2014 08:00;30560;6989;06/01/2014 08:00;NULL;NULL;06/01/2014 08:03
06/01/2014 08:01;30175;6936;06/01/2014 08:01;NULL;NULL;06/01/2014 08:12
06/01/2014 08:01;30179;8483;06/01/2014 08:01;NULL;NULL;06/01/2014 08:03
06/01/2014 08:01;30560;7168;06/01/2014 08:01;NULL;NULL;06/01/2014 08:06
06/01/2014 08:03;30175;6935;06/01/2014 08:03;NULL;NULL;06/01/2014 08:06
06/01/2014 08:03;30560;8077;06/01/2014 08:03;NULL;NULL;06/01/2014 08:08
06/01/2014 08:04;30560;8393;06/01/2014 08:04;NULL;NULL;06/01/2014 08:07
06/01/2014 08:04;30175;9423;06/01/2014 08:04;06/01/2014 08:04;06/01/2014 08:05;06/01/2014 08:10
06/01/2014 08:04;30560;8376;06/01/2014 08:04;NULL;NULL;06/01/2014 08:08
06/01/2014 08:04;30560;8189;06/01/2014 08:04;NULL;NULL;06/01/2014 08:10
06/01/2014 08:05;30179;6944;06/01/2014 08:05;06/01/2014 08:07;06/01/2014 08:07;06/01/2014 08:11
06/01/2014 08:05;30560;8861;06/01/2014 08:05;06/01/2014 08:08;06/01/2014 08:09;06/01/2014 08:17
06/01/2014 08:05;30179;8514;06/01/2014 08:05;NULL;NULL;06/01/2014 08:06
06/01/2014 08:05;30172;8483;06/01/2014 08:05;NULL;NULL;06/01/2014 08:07
06/01/2014 08:06;30560;7921;06/01/2014 08:06;NULL;NULL;06/01/2014 08:15
06/01/2014 08:06;30175;7531;06/01/2014 08:06;NULL;NULL;06/01/2014 08:08
06/01/2014 08:07;30175;6989;06/01/2014 08:07;NULL;NULL;06/01/2014 08:11
06/01/2014 08:10;30175;9423;06/01/2014 08:10;NULL;NULL;06/01/2014 08:13
06/01/2014 08:11;30175;8514;06/01/2014 08:11;NULL;NULL;06/01/2014 08:12
06/01/2014 08:12;30560;6935;06/01/2014 08:12;NULL;NULL;06/01/2014 08:16
06/01/2014 08:12;30175;7168;06/01/2014 08:12;NULL;NULL;06/01/2014 08:12
06/01/2014 08:12;30560;8393;06/01/2014 08:12;06/01/2014 08:13;06/01/2014 08:14;06/01/2014 08:18
06/01/2014 08:12;30560;6944;06/01/2014 08:12;NULL;NULL;06/01/2014 08:16
06/01/2014 08:12;30175;8483;06/01/2014 08:12;NULL;NULL;06/01/2014 08:14
06/01/2014 08:12;30560;8077;06/01/2014 08:12;NULL;NULL;06/01/2014 08:17
06/01/2014 08:13;30560;7531;06/01/2014 08:13;NULL;NULL;06/01/2014 08:17
06/01/2014 08:13;30172;8376;06/01/2014 08:13;NULL;NULL;06/01/2014 08:15
06/01/2014 08:13;30560;8861;06/01/2014 08:13;NULL;NULL;06/01/2014 08:17
06/01/2014 08:13;30560;8189;06/01/2014 08:13;NULL;NULL;06/01/2014 08:18
06/01/2014 08:14;30175;9425;06/01/2014 08:14;NULL;NULL;06/01/2014 08:26
06/01/2014 08:14;30560;6989;06/01/2014 08:14;NULL;NULL;06/01/2014 08:18
06/01/2014 08:14;30175;8514;06/01/2014 08:14;NULL;NULL;06/01/2014 08:14
06/01/2014 08:15;30175;7168;06/01/2014 08:15;NULL;NULL;06/01/2014 08:19
06/01/2014 08:15;30175;8483;06/01/2014 08:15;06/01/2014 08:17;NULL;06/01/2014 08:18
06/01/2014 08:15;30175;8393;06/01/2014 08:15;NULL;NULL;06/01/2014 08:17
06/01/2014 08:15;30560;8514;06/01/2014 08:15;NULL;NULL;06/01/2014 08:16
06/01/2014 08:16;30175;9423;06/01/2014 08:16;NULL;NULL;06/01/2014 08:21
06/01/2014 08:17;30172;7921;06/01/2014 08:17;NULL;NULL;06/01/2014 08:18
06/01/2014 08:17;30560;8376;06/01/2014 08:17;NULL;NULL;06/01/2014 08:21
06/01/2014 08:20;30560;6935;06/01/2014 08:20;NULL;NULL;06/01/2014 08:24
06/01/2014 08:21;30560;8514;06/01/2014 08:21;NULL;NULL;06/01/2014 08:27
06/01/2014 08:21;30172;7531;06/01/2014 08:21;NULL;NULL;06/01/2014 08:29
06/01/2014 08:22;30560;8861;06/01/2014 08:22;NULL;NULL;06/01/2014 08:22
06/01/2014 08:23;30179;8393;06/01/2014 08:23;NULL;06/01/2014 08:24;06/01/2014 08:24
06/01/2014 08:25;30175;8077;06/01/2014 08:25;NULL;NULL;06/01/2014 08:30
06/01/2014 08:25;30560;6989;06/01/2014 08:25;NULL;NULL;06/01/2014 08:31
06/01/2014 08:25;30175;8189;06/01/2014 08:25;NULL;NULL;06/01/2014 08:28
06/01/2014 08:25;30172;6936;06/01/2014 08:25;NULL;NULL;06/01/2014 08:28
06/01/2014 08:26;30175;8483;06/01/2014 08:26;NULL;NULL;06/01/2014 08:28
06/01/2014 08:26;30175;7921;06/01/2014 08:26;NULL;NULL;06/01/2014 08:27
06/01/2014 08:27;30175;9423;06/01/2014 08:27;NULL;NULL;06/01/2014 08:32
06/01/2014 08:28;30560;7168;06/01/2014 08:28;NULL;NULL;06/01/2014 08:29
06/01/2014 08:28;30175;8376;06/01/2014 08:28;06/01/2014 08:30;06/01/2014 08:30;06/01/2014 08:32
06/01/2014 08:28;30172;8861;06/01/2014 08:28;NULL;NULL;06/01/2014 08:32
06/01/2014 08:28;30175;8393;06/01/2014 08:28;NULL;NULL;06/01/2014 08:32
06/01/2014 08:29;30175;6935;06/01/2014 08:29;NULL;NULL;06/01/2014 08:31
06/01/2014 08:29;30175;7921;06/01/2014 08:29;NULL;NULL;06/01/2014 08:31
